scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.999,0.3711,0.999,0.3711,0.999,0.3723,0.9436,0.7471,0.8139,0.999,0.3711,0.04,1.0,-0.8961
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9998,0.3775,0.9998,0.3779,0.9998,0.3785,0.9466,0.7473,0.811,0.9998,0.3779,0.04,1.0,-0.8961
ds3,static,22563.0,120.0,0.7131,0.8973,0.3291,0.3888,0.6562,0.3718,0.6564,0.3721,0.6567,0.3737,0.7369,0.2503,0.6421,0.6564,0.3721,0.04,1.0,-0.8961
ds4,dynamic,22579.0,114.0,0.9458,0.9844,0.785,0.8363,0.9478,0.3757,0.9479,0.3758,0.948,0.3771,0.918,0.6232,0.786,0.9479,0.3758,0.1,1.0,-0.8961
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.999,0.9992,0.9998,0.6187,0.9998,0.6194,0.9998,0.6204,0.9147,0.5657,0.6902,0.9998,0.6194,0.06,1.0,-0.8961
ds6,static,20577.0,105.0,0.8928,0.965,0.4204,0.6459,0.9551,0.6191,0.9552,0.6193,0.9552,0.6201,0.8887,0.433,0.6679,0.9552,0.6193,0.06,1.0,-0.8961
ds7,static,23169.0,110.0,0.9249,0.9793,0.7362,0.7665,0.7612,0.0336,0.7612,0.0346,0.7614,0.0377,0.8596,0.6174,0.8633,0.7612,0.0346,53.58,1.0,-0.8961
ds8,static,22611.0,110.0,0.9776,0.9947,0.8662,0.9237,0.922,0.047,0.922,0.047,0.922,0.047,0.9534,0.8074,0.9375,0.922,0.047,0.24,1.0,-0.8961
ALL,-,176799.0,,0.9211,0.9782,0.7655,0.8093,0.9033,0.3521,0.9033,0.3524,0.9034,0.3536,0.8989,0.5574,0.7755,0.9033,0.3524,,8.0,
MACRO,-,,,0.9316,,0.7667,0.8198,0.9051,,0.9052,,0.9052,,,,,,,,,
