scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.999,0.9997,0.9982,0.9983,0.9982,0.0,0.9983,0.038,0.9985,0.2577,0.9925,0.9709,0.9801,0.9983,0.038,0.04,1.0,-6.812
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9996,0.9996,0.0,0.9996,0.0459,0.9997,0.2666,0.993,0.9693,0.9769,0.9996,0.0459,0.04,1.0,-6.812
ds3,static,22559.0,120.0,0.568,0.8489,0.3024,0.3484,0.2562,0.0023,0.3452,0.0453,0.4618,0.26,0.5075,0.2931,0.6499,0.3452,0.0453,0.04,1.0,-6.812
ds4,dynamic,22576.0,114.0,0.9435,0.9843,0.7975,0.8494,0.6271,0.0,0.8472,0.0484,0.9282,0.2781,0.9098,0.7164,0.8994,0.8472,0.0484,0.08,1.0,-6.812
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9992,0.999,0.0008,0.9992,0.0979,0.9994,0.3112,0.9851,0.9344,0.9507,0.9992,0.0979,0.06,1.0,-6.812
ds6,static,20582.0,105.0,0.9153,0.9727,0.4587,0.7358,0.3589,0.0073,0.8269,0.1109,0.9188,0.3232,0.8883,0.6428,0.858,0.8269,0.1109,0.06,1.0,-6.812
ds7,static,23171.0,110.0,0.7312,0.917,0.3267,0.4288,0.0645,0.0,0.2704,0.0037,0.3867,0.0276,0.4254,0.2723,0.6334,0.2704,0.0037,67.52,1.0,-6.812
ds8,static,23169.0,110.0,0.7777,0.9351,0.4325,0.517,0.1142,0.0,0.3911,0.0019,0.5191,0.0516,0.562,0.3522,0.6946,0.3911,0.0019,2.8,1.0,-6.812
ALL,-,177908.0,,0.8302,0.9521,0.6455,0.703,0.5444,0.0013,0.7014,0.0479,0.7692,0.2219,0.8173,0.5582,0.8267,0.7014,0.0479,,8.0,
MACRO,-,,,0.8668,,0.6643,0.7346,0.5522,,0.7097,,0.7765,,,,,,,,,
