scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9991,0.9997,0.9983,0.9983,0.9989,0.3963,0.9989,0.3972,0.9989,0.3997,0.9341,0.7243,0.8009,0.9989,0.3972,0.04,1.0,-0.6703
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9997,0.9998,0.4011,0.9998,0.4021,0.9998,0.4042,0.9434,0.7301,0.7989,0.9998,0.4021,0.04,1.0,-0.6703
ds3,static,22559.0,120.0,0.6759,0.8816,0.2924,0.3468,0.6369,0.4068,0.6375,0.4078,0.6384,0.4108,0.7185,0.2018,0.6148,0.6375,0.4078,0.04,1.0,-0.6703
ds4,dynamic,22576.0,114.0,0.9461,0.9844,0.782,0.8359,0.9532,0.4098,0.9533,0.4103,0.9536,0.4122,0.916,0.6072,0.7715,0.9533,0.4103,0.04,1.0,-0.6703
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9991,0.9999,0.651,0.9999,0.6522,0.9999,0.6541,0.9105,0.5386,0.6738,0.9999,0.6522,0.06,1.0,-0.6703
ds6,static,20582.0,105.0,0.8616,0.9557,0.4044,0.6181,0.9315,0.643,0.9316,0.6445,0.9319,0.6473,0.873,0.3562,0.6436,0.9316,0.6445,0.06,1.0,-0.6703
ds7,static,23171.0,110.0,0.8186,0.9442,0.3789,0.5031,0.4398,0.0209,0.44,0.0209,0.4413,0.0209,0.6086,0.3668,0.7096,0.44,0.0209,47.82,1.0,-0.6703
ds8,static,23169.0,110.0,0.8884,0.9685,0.6076,0.6601,0.6072,0.0037,0.6074,0.0064,0.6082,0.0209,0.7549,0.5012,0.8005,0.6074,0.0064,0.48,1.0,-0.6703
ALL,-,177908.0,,0.8538,0.9568,0.6214,0.6785,0.8145,0.3633,0.8146,0.3644,0.8151,0.368,0.8451,0.421,0.7251,0.8146,0.3644,,8.0,
MACRO,-,,,0.8986,,0.6828,0.7451,0.8209,,0.821,,0.8215,,,,,,,,,
