scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.8888,0.9251,0.1607,0.164,0.1498,0.0002,0.1594,0.0066,0.1636,0.035,0.2745,0.2066,0.5764,0.1594,0.0066,11.06,1.0,10671.2928
ds2,static,22523.0,110.0,0.8867,0.9311,0.1083,0.1557,0.0195,0.0002,0.0855,0.0054,0.1484,0.0374,0.1573,0.1345,0.54,0.0855,0.0054,1.4,1.0,10671.2928
ds3,static,22559.0,120.0,0.7961,0.8581,0.0076,0.0333,0.0011,0.0,0.0059,0.0072,0.0255,0.0363,0.0117,-0.0072,0.4993,0.0059,0.0072,25.36,1.0,10671.2928
ds4,dynamic,22576.0,114.0,0.8453,0.8628,0.0045,0.0182,0.0006,0.0004,0.0049,0.0121,0.0184,0.0508,0.0097,-0.038,0.4964,0.0049,0.0121,inf,0.0,10671.2928
ds5,dynamic,20573.0,102.0,0.8888,0.9331,0.139,0.1542,0.0702,0.0,0.1325,0.005,0.1503,0.029,0.2337,0.1769,0.5637,0.1325,0.005,2.52,1.0,10671.2928
ds6,static,20582.0,105.0,0.8112,0.8707,0.0118,0.0519,0.0006,0.0,0.0072,0.0063,0.0344,0.0317,0.0142,0.0044,0.5004,0.0072,0.0063,inf,0.0,10671.2928
ds7,static,23171.0,110.0,0.7712,0.8697,0.0129,0.0448,0.0022,0.0008,0.0126,0.0091,0.0449,0.0501,0.0247,0.0134,0.5017,0.0126,0.0091,inf,0.0,10671.2928
ds8,static,23169.0,110.0,0.8103,0.8856,0.0243,0.0582,0.0077,0.0008,0.0262,0.0118,0.0651,0.0611,0.0509,0.0401,0.5072,0.0262,0.0118,143.68,1.0,10671.2928
ALL,-,177908.0,,0.8313,0.8978,0.0561,0.0852,0.0308,0.0003,0.0535,0.008,0.0808,0.0415,0.1013,0.0957,0.5227,0.0535,0.008,,5.0,
MACRO,-,,,0.8373,,0.0586,0.085,0.0315,,0.0543,,0.0813,,,,,,,,,
