scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.8279,0.9366,0.3149,0.514,0.04,0.0,0.2074,0.003,0.4287,0.0277,0.3433,0.2483,0.6022,0.2074,0.003,5.9,1.0,2.0182
ds2,static,22523.0,110.0,0.4268,0.7224,0.0053,0.0243,0.0,0.0002,0.0019,0.0041,0.0152,0.0321,0.0038,-0.0186,0.4989,0.0019,0.0041,inf,0.0,2.0182
ds3,static,22559.0,120.0,0.5841,0.8255,0.1202,0.1761,0.0679,0.0002,0.1017,0.0034,0.1477,0.0305,0.1844,0.16,0.5492,0.1017,0.0034,49.74,1.0,2.0182
ds4,dynamic,22576.0,114.0,0.8341,0.9499,0.5326,0.625,0.3499,0.0002,0.4806,0.0047,0.5909,0.0285,0.6485,0.4203,0.738,0.4806,0.0047,0.8,1.0,2.0182
ds5,dynamic,20573.0,102.0,0.4204,0.698,0.0001,0.003,0.0,0.001,0.001,0.026,0.0145,0.0955,0.002,-0.1284,0.4875,0.001,0.026,inf,0.0,2.0182
ds6,static,20582.0,105.0,0.5,0.7837,0.0573,0.1058,0.0307,0.0014,0.0756,0.0221,0.1374,0.0902,0.1397,0.094,0.5267,0.0756,0.0221,58.92,1.0,2.0182
ds7,static,23171.0,110.0,0.6988,0.8993,0.1779,0.3146,0.0353,0.0002,0.13,0.0035,0.2731,0.0313,0.2298,0.1742,0.5632,0.13,0.0035,125.58,1.0,2.0182
ds8,static,23169.0,110.0,0.7114,0.9045,0.1857,0.337,0.0253,0.0,0.1193,0.0017,0.2581,0.0259,0.2131,0.1685,0.5588,0.1193,0.0017,83.06,1.0,2.0182
ALL,-,177908.0,,0.6314,0.863,0.1503,0.2462,0.0693,0.0004,0.1414,0.0081,0.2363,0.0439,0.2472,0.1812,0.5666,0.1414,0.0081,,6.0,
MACRO,-,,,0.6254,,0.1743,0.2625,0.0686,,0.1397,,0.2332,,,,,,,,,
