scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.5526,0.7832,0.0322,0.091,0.0001,0.0,0.0028,0.0005,0.026,0.0081,0.0056,0.0214,0.5011,0.0028,0.0005,inf,0.0,1.6589
ds2,static,22523.0,110.0,0.6025,0.8431,0.0725,0.1519,0.0001,0.0,0.0194,0.0004,0.0754,0.011,0.038,0.0656,0.5095,0.0194,0.0004,18.18,1.0,1.6589
ds3,static,22559.0,120.0,0.571,0.8013,0.0319,0.1077,0.0,0.0,0.0046,0.0004,0.0336,0.0106,0.0092,0.0311,0.5021,0.0046,0.0004,58.5,1.0,1.6589
ds4,dynamic,22576.0,114.0,0.6456,0.8532,0.0571,0.1645,0.0,0.0,0.0095,0.0002,0.0647,0.011,0.0189,0.0467,0.5047,0.0095,0.0002,inf,0.0,1.6589
ds5,dynamic,20573.0,102.0,0.4866,0.7693,0.0165,0.0594,0.0003,0.0,0.0137,0.0084,0.0627,0.0565,0.027,0.0202,0.5027,0.0137,0.0084,68.86,1.0,1.6589
ds6,static,20582.0,105.0,0.467,0.7433,0.012,0.0423,0.0001,0.0,0.0098,0.0063,0.0437,0.0532,0.0193,0.0157,0.5017,0.0098,0.0063,66.0,1.0,1.6589
ds7,static,23171.0,110.0,0.5927,0.8346,0.0352,0.1175,0.0,0.0,0.0126,0.0023,0.0765,0.0284,0.0248,0.0423,0.5051,0.0126,0.0023,inf,0.0,1.6589
ds8,static,23169.0,110.0,0.6599,0.8724,0.0766,0.198,0.0,0.0,0.0257,0.001,0.1202,0.0224,0.05,0.0732,0.5124,0.0257,0.001,7.22,1.0,1.6589
ALL,-,177908.0,,0.5755,0.8157,0.0343,0.1101,0.0001,0.0,0.0124,0.0023,0.0637,0.0241,0.0245,0.0432,0.5051,0.0124,0.0023,,5.0,
MACRO,-,,,0.5722,,0.0417,0.1165,0.0001,,0.0123,,0.0628,,,,,,,,,
