scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9972,0.9989,0.9609,0.9982,0.0062,0.0,0.539,0.0005,0.9929,0.0193,0.7004,0.4825,0.7692,0.539,0.0005,0.1,1.0,0.5915
ds2,static,22523.0,110.0,0.9665,0.9878,0.4942,0.7619,0.0031,0.0,0.2132,0.0012,0.6207,0.0205,0.3514,0.2404,0.606,0.2132,0.0012,1.38,1.0,0.5915
ds3,static,22559.0,120.0,0.8216,0.9316,0.2502,0.4099,0.0142,0.0,0.1231,0.0005,0.3101,0.0194,0.2192,0.1837,0.5613,0.1231,0.0005,25.36,1.0,0.5915
ds4,dynamic,22576.0,114.0,0.9784,0.9932,0.8012,0.8863,0.0452,0.0,0.5967,0.0009,0.8549,0.0259,0.7473,0.5094,0.7979,0.5967,0.0009,1.32,1.0,0.5915
ds5,dynamic,20573.0,102.0,0.9188,0.9608,0.1125,0.4514,0.0011,0.0002,0.1831,0.0153,0.6549,0.088,0.3083,0.2014,0.5839,0.1831,0.0153,13.38,1.0,0.5915
ds6,static,20582.0,105.0,0.8437,0.9313,0.1064,0.3324,0.0021,0.0002,0.1513,0.0158,0.4832,0.0963,0.2617,0.1785,0.5677,0.1513,0.0158,35.86,1.0,0.5915
ds7,static,23171.0,110.0,0.8354,0.9466,0.2974,0.4769,0.0032,0.0,0.1308,0.001,0.3792,0.0213,0.2313,0.1788,0.5649,0.1308,0.001,146.88,1.0,0.5915
ds8,static,23169.0,110.0,0.9044,0.972,0.5235,0.6809,0.027,0.0,0.3529,0.0015,0.608,0.0224,0.5216,0.3279,0.6757,0.3529,0.0015,2.44,1.0,0.5915
ALL,-,177908.0,,0.9058,0.9684,0.4057,0.6491,0.013,0.0,0.288,0.0043,0.6123,0.0377,0.4467,0.2908,0.6418,0.288,0.0043,,8.0,
MACRO,-,,,0.9082,,0.4433,0.6247,0.0128,,0.2863,,0.613,,,,,,,,,
