auc,tpr1,rfpr1,tpr5,rfpr5,tpr10,rfpr10,hits,variant
0.9755625,0.803775,0.005487499999999999,0.8974249999999999,0.037099999999999994,0.9408375,0.1277375,8,max_MEWMA+Mahalanobis
0.9682625,0.8064125,0.0056749999999999995,0.8941375,0.0449375,0.920725,0.11381250000000001,8,mean_MEWMA+Mahalanobis
0.9682625,0.8064125,0.0056749999999999995,0.8941375,0.0449375,0.920725,0.11381250000000001,8,median_MEWMA+Mahalanobis
0.9755625,0.832175,0.00755,0.8974249999999999,0.037099999999999994,0.9408375,0.1277375,8,or3_MEWMA+Mahalanobis
0.9614375,0.7972125,0.0062375,0.89005,0.0669875,0.9230625,0.1722,8,rank_MEWMA+Mahalanobis
0.9728749999999999,0.8197,0.014325000000000001,0.9290125,0.10225000000000001,0.9643250000000001,0.27871250000000003,8,max_MEWMA+OCSVM
0.9272,0.8251625,0.016575,0.88265,0.15647499999999998,0.9053875,0.2946125,8,mean_MEWMA+OCSVM
0.9272,0.8251625,0.016575,0.88265,0.15647499999999998,0.9053875,0.2946125,8,median_MEWMA+OCSVM
0.9728749999999999,0.8513999999999999,0.025112500000000003,0.9290125,0.10225000000000001,0.9643250000000001,0.27871250000000003,8,or3_MEWMA+OCSVM
0.9422,0.8419125,0.014512500000000001,0.905775,0.22207500000000002,0.9310125,0.4088125,8,rank_MEWMA+OCSVM
0.9696625000000001,0.897875,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,max_MCUSUM+CUSUM
0.9920875,0.8807750000000001,0.0,0.9115,0.0,0.91875,0.0,8,mean_MCUSUM+CUSUM
0.9920875,0.8807750000000001,0.0,0.9115,0.0,0.91875,0.0,8,median_MCUSUM+CUSUM
0.9696625000000001,0.9068875,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,or3_MCUSUM+CUSUM
0.9922,0.752625,0.0,0.9094500000000001,0.0,0.9279875,0.0,8,rank_MCUSUM+CUSUM
0.9902375,0.9272,0.0079375,0.9660250000000001,0.1701,0.9776375,0.31345,8,max_MCUSUM+KnnDist
0.9923875,0.8808500000000001,0.0,0.9123,0.0,0.92075,0.0,8,mean_MCUSUM+KnnDist
0.9923875,0.8808500000000001,0.0,0.9123,0.0,0.92075,0.0,8,median_MCUSUM+KnnDist
0.9902375,0.94455,0.039825,0.9660250000000001,0.1701,0.9776375,0.31345,8,or3_MCUSUM+KnnDist
0.9946250000000001,0.865625,0.0,0.9284374999999999,0.000375,0.9456875,0.0062,8,rank_MCUSUM+KnnDist
0.9851375,0.893975,0.000925,0.9457375,0.023962499999999998,0.95765,0.06845,8,max_MCUSUM+Mahalanobis
0.9921125,0.8765875,0.0,0.91015,0.0,0.9174249999999999,0.0,8,mean_MCUSUM+Mahalanobis
0.9921125,0.8765875,0.0,0.91015,0.0,0.9174249999999999,0.0,8,median_MCUSUM+Mahalanobis
0.9851375,0.924325,0.005425,0.9457375,0.023962499999999998,0.95765,0.06845,8,or3_MCUSUM+Mahalanobis
0.9890625000000001,0.8134250000000001,0.0,0.8895124999999999,0.000325,0.9166875,0.00105,8,rank_MCUSUM+Mahalanobis
0.9703250000000001,0.922075,0.0038,0.9444125,0.116875,0.9531125,0.2566625,8,max_MCUSUM+OCSVM
0.9919625000000001,0.8792375,0.0,0.9114875,0.0,0.9192625,0.0,8,mean_MCUSUM+OCSVM
0.9919625000000001,0.8792375,0.0,0.9114875,0.0,0.9192625,0.0,8,median_MCUSUM+OCSVM
0.9703250000000001,0.932625,0.0232375,0.9444125,0.116875,0.9531125,0.2566625,8,or3_MCUSUM+OCSVM
0.9799875,0.8437,0.0,0.9045875,0.0004125,0.9279499999999999,0.006575000000000001,8,rank_MCUSUM+OCSVM
0.956825,0.8181875000000001,0.0096375,0.9089750000000001,0.1857125,0.9382375000000001,0.32572500000000004,8,max_CUSUM+KnnDist
0.9565625,0.807325,0.005062499999999999,0.9071500000000001,0.1829,0.9379875,0.32499999999999996,8,mean_CUSUM+KnnDist
0.9565625,0.807325,0.005062499999999999,0.9071500000000001,0.1829,0.9379875,0.32499999999999996,8,median_CUSUM+KnnDist
0.956825,0.8542500000000001,0.039825,0.9089750000000001,0.1857125,0.9382375000000001,0.32572500000000004,8,or3_CUSUM+KnnDist
0.9459124999999999,0.7764249999999999,0.0158,0.827575,0.1124125,0.9304125000000001,0.285875,8,rank_CUSUM+KnnDist
0.9524874999999999,0.7743625,0.001125,0.8501000000000001,0.0279375,0.8795125,0.0732375,8,max_CUSUM+Mahalanobis
0.951225,0.7645,0.00023750000000000003,0.8464125,0.0364375,0.8785875000000001,0.082525,8,mean_CUSUM+Mahalanobis
0.951225,0.7645,0.00023750000000000003,0.8464125,0.0364375,0.8785875000000001,0.082525,8,median_CUSUM+Mahalanobis
0.9524874999999999,0.804125,0.005425,0.8501000000000001,0.0279375,0.8795125,0.0732375,8,or3_CUSUM+Mahalanobis
0.9462875,0.7557125,0.0060125000000000005,0.8053374999999999,0.046912499999999996,0.8704875,0.087925,8,rank_CUSUM+Mahalanobis
0.9296875,0.8150125,0.0043375,0.8799375,0.131275,0.9003125000000001,0.2696375,8,max_CUSUM+OCSVM
0.9252125,0.814025,0.004425,0.8800125,0.1338375,0.9007125,0.271525,8,mean_CUSUM+OCSVM
0.9252125,0.814025,0.004425,0.8800125,0.1338375,0.9007125,0.271525,8,median_CUSUM+OCSVM
0.9296875,0.8480624999999999,0.0232375,0.8799375,0.131275,0.9003125000000001,0.2696375,8,or3_CUSUM+OCSVM
0.917225,0.762725,0.0131125,0.8440624999999999,0.09846250000000001,0.8970875,0.2503,8,rank_CUSUM+OCSVM
0.946825,0.826275,0.0327125,0.8658125000000001,0.0851375,0.8834625,0.1210125,8,max_KnnDist+Mahalanobis
0.9525,0.81435,0.0211625,0.8942125000000001,0.1486125,0.9261625,0.2709375,8,mean_KnnDist+Mahalanobis
0.9525,0.81435,0.0211625,0.8942125000000001,0.1486125,0.9261625,0.2709375,8,median_KnnDist+Mahalanobis
0.946825,0.83485,0.0399,0.8658125000000001,0.0851375,0.8834625,0.1210125,8,or3_KnnDist+Mahalanobis
0.9528125000000001,0.7783374999999999,0.00885,0.8650749999999999,0.061524999999999996,0.8984749999999999,0.1425375,8,rank_KnnDist+Mahalanobis
0.949875,0.8316875,0.0327375,0.9013500000000001,0.1938125,0.9308625,0.3294,8,max_KnnDist+OCSVM
0.932675,0.8227374999999999,0.032100000000000004,0.8882125000000001,0.18375,0.9145375,0.323625,8,mean_KnnDist+OCSVM
0.932675,0.8227374999999999,0.032100000000000004,0.8882125000000001,0.18375,0.9145375,0.323625,8,median_KnnDist+OCSVM
0.949875,0.8417749999999999,0.042575,0.9013500000000001,0.1938125,0.9308625,0.3294,8,or3_KnnDist+OCSVM
0.9373,0.8185375,0.0315,0.8831125,0.18358750000000001,0.9132125,0.327675,8,rank_KnnDist+OCSVM
0.9497249999999999,0.808075,0.0189375,0.8571875,0.055787500000000004,0.877525,0.0948375,8,max_Mahalanobis+OCSVM
