scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.9982,0.0,0.9983,0.0343,0.9986,0.2177,0.9937,0.9738,0.982,0.9983,0.0343,0.04,1.0,-6.8025
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9996,0.0,0.9997,0.0319,0.9997,0.212,0.9951,0.9785,0.9839,0.9997,0.0319,0.04,1.0,-6.8025
ds3,static,22563.0,120.0,0.6187,0.8667,0.3349,0.3777,0.2731,0.0023,0.3677,0.0363,0.4678,0.2105,0.5329,0.3187,0.6657,0.3677,0.0363,0.04,1.0,-6.8025
ds4,dynamic,22579.0,114.0,0.92,0.9778,0.7772,0.8254,0.608,0.0,0.8139,0.0359,0.8789,0.2141,0.8919,0.6857,0.889,0.8139,0.0359,0.18,1.0,-6.8025
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.9991,0.9993,0.999,0.0011,0.9994,0.0813,0.9994,0.2413,0.9876,0.9455,0.959,0.9994,0.0813,0.06,1.0,-6.8025
ds6,static,20577.0,105.0,0.9483,0.9825,0.5225,0.7907,0.4031,0.0071,0.8611,0.0879,0.9451,0.253,0.9119,0.7048,0.8866,0.8611,0.0879,0.06,1.0,-6.8025
ds7,static,23169.0,110.0,0.8354,0.957,0.7117,0.7298,0.6531,0.0,0.7042,0.0043,0.7266,0.0425,0.8259,0.5857,0.85,0.7042,0.0043,83.06,1.0,-6.8025
ds8,static,22611.0,110.0,0.9435,0.9864,0.7986,0.8396,0.683,0.0,0.7811,0.0048,0.8418,0.055,0.8765,0.6454,0.8882,0.7811,0.0048,0.42,1.0,-6.8025
ALL,-,176799.0,,0.9034,0.9743,0.7819,0.8192,0.7026,0.0013,0.8132,0.0392,0.8546,0.1821,0.8911,0.6781,0.887,0.8132,0.0392,,8.0,
MACRO,-,,,0.9081,,0.7677,0.8201,0.7021,,0.8157,,0.8572,,,,,,,,,
