n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23076,0.6622,0.8714,0.0794,0.172,0.1613,0.1217,0.5378,0.088,0.0124,20.28,1,1.7265
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23074,0.7321,0.8993,0.092,0.2332,0.1816,0.134,0.5441,0.1002,0.012,9.34,1,1.7265
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22660,0.6492,0.8429,0.0636,0.1663,0.0032,0.0203,0.5008,0.0016,0.0,0.66,1,1.2024
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22428,0.594,0.848,0.1147,0.1859,0.0296,0.0587,0.5075,0.015,0.0,0.18,1,1.2024
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22464,0.5893,0.8172,0.0474,0.1259,0.0022,0.0137,0.5005,0.0011,0.0002,67.88,1,1.2026
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22481,0.6781,0.8781,0.1085,0.2329,0.008,0.0307,0.502,0.004,0.0,inf,0,1.202
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20478,0.4616,0.7723,0.027,0.0794,0.0005,0.0076,0.5001,0.0003,0.0,inf,0,1.2536
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20487,0.4223,0.7242,0.0067,0.0364,0.0001,0.0039,0.5,0.0001,0.0,inf,0,1.2529
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23076,0.6435,0.8652,0.0663,0.1745,0.0026,0.0168,0.5006,0.0013,0.0,inf,0,1.2018
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23074,0.6664,0.8752,0.0751,0.1918,0.001,0.0105,0.5003,0.0005,0.0,inf,0,1.2018
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22660,0.9991,0.9998,0.998,0.9982,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22428,0.9996,0.9999,0.9991,0.9992,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22464,0.9945,0.9983,0.9325,0.9796,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22481,0.9999,1.0,0.999,0.9995,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20478,0.9992,0.9998,0.9982,0.9987,0.0,0.0,0.5,0.0,0.0,inf,0,0.2547
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20487,0.9871,0.9954,0.6955,0.9663,0.0,0.0,0.5,0.0,0.0,inf,0,0.2547
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23076,0.9703,0.9921,0.8244,0.8853,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23074,0.9882,0.997,0.9208,0.9636,0.0,0.0,0.5,0.0,0.0,inf,0,0.2248
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22660,0.6689,0.8524,0.0693,0.1818,0.0422,0.0702,0.5102,0.0216,0.0012,0.66,1,0.7405
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22428,0.6003,0.8481,0.1094,0.1683,0.1129,0.1169,0.5294,0.0599,0.001,0.18,1,0.7405
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22464,0.5921,0.8165,0.0407,0.1123,0.0304,0.0557,0.507,0.0155,0.0014,64.94,1,0.7405
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
22481,0.6862,0.8786,0.1056,0.2267,0.0876,0.1016,0.5222,0.0459,0.0015,11.9,1,0.7405
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20478,0.459,0.7602,0.0134,0.0516,0.0071,0.0055,0.5004,0.0035,0.0028,86.64,1,0.8123
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
20487,0.4351,0.7273,0.0054,0.0278,0.0046,-0.0034,0.4998,0.0023,0.0027,inf,0,0.8123
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23076,0.6414,0.8631,0.0694,0.163,0.0784,0.0849,0.5183,0.0408,0.0043,214.24,1,0.7405
n_frames,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold
23074,0.6599,0.87,0.0636,0.1732,0.0623,0.0753,0.5144,0.0322,0.0033,119.26,1,0.7405
