scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9996,0.9982,0.9983,0.9958,0.0,0.9971,0.0,0.9982,0.0127,0.9986,0.9941,0.9986,0.9971,0.0,0.04,1.0,9.2075
ds2,static,22528.0,110.0,0.9999,0.9999,0.9996,0.9997,0.9934,0.0,0.9969,0.0,0.9996,0.0046,0.9984,0.9933,0.9984,0.9969,0.0,0.04,1.0,9.2075
ds3,static,22563.0,120.0,0.7568,0.8896,0.3672,0.4906,0.2665,0.0,0.2845,0.0,0.4206,0.0204,0.443,0.3015,0.6422,0.2845,0.0,25.74,1.0,9.2075
ds4,dynamic,22579.0,114.0,0.9102,0.9618,0.7942,0.8199,0.7146,0.0,0.7336,0.0,0.7908,0.0058,0.8463,0.6292,0.8668,0.7336,0.0,85.16,1.0,9.2075
ds5,dynamic,20569.0,102.0,0.9995,0.9999,0.9978,0.9985,0.993,0.0,0.9964,0.0,0.9994,0.2287,0.9982,0.9923,0.9982,0.9964,0.0,0.06,1.0,9.2075
ds6,static,20577.0,105.0,0.7448,0.913,0.5917,0.5983,0.5658,0.0,0.5826,0.0,0.6135,0.2054,0.7362,0.5001,0.7913,0.5826,0.0,0.06,1.0,9.2075
ds7,static,23169.0,110.0,0.8662,0.9493,0.6938,0.7252,0.6544,0.0,0.6621,0.0,0.7105,0.0302,0.7967,0.5516,0.8311,0.6621,0.0,115.1,1.0,9.2075
ds8,static,22611.0,110.0,0.9372,0.9792,0.8148,0.8555,0.5673,0.0,0.6962,0.0,0.8491,0.0399,0.8209,0.5645,0.8481,0.6962,0.0,0.04,1.0,9.2075
ALL,-,176799.0,,0.9012,0.9625,0.7586,0.7898,0.7171,0.0,0.7428,0.0,0.7981,0.0652,0.8524,0.6336,0.8714,0.7428,0.0,,8.0,
MACRO,-,,,0.9017,,0.7822,0.8108,0.7188,,0.7437,,0.7977,,,,,,,,,
